Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3609","52.4"
"1078000","2873500","3588","69.5"
"2157000","2873500","3590","85.3"
"3234000","2873500","3586","102.0"
"4319000","2873500","3597","117.4"
"5659000","3939700","3601","134.5"
"6738000","3939700","3598","146.4"
"7817000","3939700","3599","155.8"
"8896000","3939700","3597","163.5"
"9975000","3939700","3600","172.0"
"11309000","3939700","3601","182.7"
"12388000","3939700","3600","189.9"
"13467000","2289300","3601","198.8"
"14552000","2289300","3599","208.2"
"15631000","2289300","3600","219.3"
"16966000","2289300","3598","237.3"
"18044000","2289300","3600","253.5"
"19122000","3567900","3600","271.5"
"20201000","3567900","3599","287.3"
"21279000","3567900","3599","302.3"
"22613000","3567900","3598","319.4"
"23691000","3584900","3598","330.4"
"24776000","3584900","3598","339.0"
"25856000","3584900","3599","347.9"
"26935000","3584900","3598","355.6"
"28276000","3584900","3599","366.7"
"29339000","3584900","3598","373.0"
"30542000","3584900","3599","378.1"
"31606000","3584900","3599","383.2"
"32804000","1828600","3599","390.4"
"34129000","1828600","3599","403.2"
"35327000","1828600","3599","421.2"
"36611000","1828600","3599","440.4"
"37896000","3683400","3600","458.0"
"39185000","3683400","3600","472.0"
"40726000","3683400","3600","483.5"
"42011000","3683400","3600","489.0"
"43300000","3683400","3599","494.1"
"44591000","3683400","3599","499.2"
"45876000","3683400","3599","505.6"
"47414000","1749800","3598","517.9"
"48482000","1749800","3599","525.1"
"49686000","1749800","3599","534.1"
"50749000","1749800","3598","545.2"
"51947000","1749800","3599","556.7"
"53487000","1749800","3600","571.2"
"54777000","2655700","3599","588.3"
"56066000","2655700","3600","605.4"
"57351000","2655700","3600","618.6"
"58635000","2655700","3600","628.9"
"60180000","2655700","3599","639.9"
"61243000","2655700","3600","645.0"
"62441000","2255000","3600","650.5"
"63505000","2255000","3601","655.6"
"64703000","2255000","3599","662.0"
"65817000","2255000","3599","669.2"
"66810000","2255000","3600","678.6"
"67890000","2255000","3600","691.8"
"68748000","2255000","3600","701.7"
"69739000","2401600","3599","713.6"
"70852000","2401600","3599","726.9"
"71843000","2401600","3599","737.5"
"72701000","2401600","3600","745.6"
"73692000","2401600","3600","754.6"
"74555000","2401600","3599","761.0"
"75802000","2401600","3600","766.9"
"76661000","2401600","3600","771.2"
"77652000","2093100","3599","773.2"
"78509000","2093100","3600","775.3"
"79502000","2093100","3600","777.4"
"80614000","2093100","3600","780.4"
"81606000","2093100","3600","783.3"
"82463000","2093100","3600","786.7"
"83456000","2093100","3600","793.1"
"84541000","2093100","3599","802.9"
"85655000","2093100","3600","813.5"
"86648000","2093100","3600","823.8"
"87728000","1758600","3600","837.0"
"88806000","1758600","3601","852.4"
"89889000","1758600","3600","865.7"
"91223000","1758600","3600","878.9"
"92301000","1758600","3599","887.4"
"93380000","2916000","3600","896.4"
"94465000","2916000","3598","902.3"
"95549000","2916000","3598","906.5"
"97090000","2916000","3598","912.5"
"98374000","2916000","3598","918.0"
"99664000","2916000","3599","929.9"
"100947000","2916000","3599","946.6"
"102011000","2014200","3599","959.0"
"103464000","2014200","3600","975.2"
"104534000","2014200","3599","985.8"
"105730000","2014200","3599","995.2"
"106794000","2014200","3599","1003.3"
"107997000","2014200","3598","1014.8"
"109537000","2518700","3597","1027.2"
"110821000","2518700","3598","1037.0"
"112106000","2518700","3597","1046.8"
"113395000","2518700","3597","1054.9"
"114464000","2518700","3597","1060.4"
"115917000","2518700","3597","1068.9"
"116981000","2518700","3597","1077.4"
"118173000","2082200","3598","1091.9"
"119030000","2082200","3598","1102.2"
"120023000","2082200","3599","1114.1"
"121137000","2082200","3598","1126.9"
"122127000","2082200","3597","1137.2"
"122985000","2082200","3598","1146.1"
"123983000","3000400","3597","1154.7"
"125062000","3000400","3598","1162.3"
"126175000","3000400","3597","1167.9"
"127167000","3000400","3598","1172.5"
"128248000","3000400","3597","1177.6"
"129326000","3000400","3597","1183.1"
"130184000","3000400","3597","1185.6"
"131437000","3000400","3597","1188.6"
"132294000","3000400","3596","1191.5"
"133286000","3000400","3597","1195.8"
"134370000","3000400","3597","1205.1"
"135229000","1446700","3597","1213.2"
"136476000","1446700","3597","1224.8"
"137334000","1446700","3597","1232.9"
"138325000","1446700","3596","1241.8"
"139183000","1446700","3596","1248.6"
"140175000","1446700","3597","1256.7"
"141509000","1446700","3596","1270.4"
"142588000","2478600","3595","1278.9"
"143667000","2478600","3596","1287.4"
"144751000","2478600","3595","1295.1"
"145830000","2478600","3595","1303.6"
"147163000","2478600","3595","1313.0"
"148242000","2478600","3595","1319.4"
"149319000","2478600","3595","1327.0"
"150397000","2478600","3596","1336.8"
"151476000","2197000","3595","1349.2"
"152811000","2197000","3597","1366.7"
"153895000","2197000","3597","1381.3"
"154974000","2197000","3597","1394.1"
"156053000","2197000","3597","1406.9"
"157131000","3378200","3597","1418.0"
"158466000","3378200","3596","1429.5"
"159550000","3378200","3597","1435.9"
"160834000","3378200","3596","1440.9"
"162118000","3378200","3597","1446.0"
"163403000","3378200","3597","1451.1"
"164954000","3378200","3598","1457.4"
"166239000","3378200","3597","1463.8"
"167523000","3378200","3597","1473.6"
"168808000","1658200","3598","1487.7"
"170097000","1658200","3598","1501.8"
"171637000","1658200","3598","1518.9"
"172921000","1658200","3598","1530.8"
"174221000","1658200","3597","1541.9"
"175506000","2582500","3597","1550.0"
"176792000","2582500","3597","1555.0"
"178332000","2582500","3597","1561.4"
"179622000","2582500","3597","1566.5"
"180907000","2582500","3597","1571.5"
"182192000","2582500","3597","1577.0"
"183477000","2582500","3597","1583.8"
"185027000","2582500","3597","1598.3"
"186312000","1605600","3597","1612.4"
"187596000","1605600","3597","1626.9"
"188881000","1605600","3597","1640.2"
"190170000","1605600","3597","1652.1"
"191711000","1605600","3597","1664.0"
"192996000","1605600","3597","1670.4"
"194290000","2315000","3596","1678.9"
"195574000","2315000","3596","1689.6"
"196858000","2315000","3595","1695.1"
"198177000","2315000","3596","1700.6"
"199375000","2315000","3596","1705.2"
"200438000","2315000","3596","1709.9"
"201641000","2315000","3597","1721.0"
"202925000","1972100","3596","1740.2"
"204471000","1972100","3597","1763.7"
"205755000","1972100","3597","1782.5"
"207046000","4005300","3596","1799.6"
"208109000","4005300","3596","1809.0"
"209306000","4005300","3597","1816.2"
"210625000","4005300","3596","1822.6"
"211821000","4005300","3597","1828.5"
"212880000","4005300","3597","1833.2"
"213878000","4005300","3596","1838.3"
"214735000","4005300","3597","1842.5"
"215987000","4005300","3596","1848.9"
"216845000","4005300","3596","1854.0"
"217836000","1619000","3596","1862.5"
"218694000","1619000","3596","1872.4"
"219686000","1619000","3596","1884.7"
"220799000","1619000","3597","1898.0"
"221791000","1619000","3596","1909.5"
"222649000","1619000","3597","1919.3"
"223641000","3208100","3596","1929.6"
"224727000","3208100","3597","1937.7"
"225841000","3208100","3596","1942.8"
"226833000","3208100","3595","1945.3"
"227913000","3208100","3596","1948.2"
"228771000","3208100","3595","1950.3"
"229763000","3208100","3596","1952.4"
"230876000","3208100","3595","1954.9"
"231868000","3208100","3596","1957.4"
"232726000","3208100","3595","1959.9"
"233718000","3208100","3596","1963.8"
"234580000","3208100","3595","1969.7"
"235828000","3208100","3595","1987.2"
"236907000","1547600","3595","2003.5"
"237986000","1547600","3595","2019.7"
"239065000","1547600","3596","2034.7"
"240144000","1547600","3596","2050.5"
"241479000","3791000","3596","2065.9"
"242557000","3791000","3595","2073.5"
"243642000","3791000","3596","2078.2"
"244932000","3791000","3595","2083.3"
"246216000","3791000","3595","2088.4"
"247760000","3791000","3594","2094.3"
"249045000","3791000","3594","2099.8"
"250329000","3791000","3595","2106.1"
"251620000","3791000","3594","2115.9"
"252905000","1559300","3596","2130.0"
"254450000","1559300","3595","2154.0"
"255735000","1559300","3595","2171.1"
"256798000","1559300","3596","2181.3"
"258005000","3396800","3596","2192.4"
"259068000","3396800","3596","2199.2"
"260521000","3396800","3596","2203.4"
"261806000","3396800","3596","2213.2"
"263091000","3396800","3596","2223.4"
"264386000","3396800","3596","2233.2"
"265671000","3396800","3596","2243.4"
"266989000","1881500","3596","2253.2"
"268186000","1881500","3596","2263.0"
"269249000","1881500","3596","2275.0"
"270447000","1881500","3596","2289.1"
"271510000","1881500","3596","2302.3"
"272958000","3039700","3596","2318.6"
"273816000","3039700","3596","2327.5"
"274813000","3039700","3595","2337.3"
"275670000","3039700","3596","2344.2"
"276664000","3039700","3595","2350.5"
"277776000","3039700","3595","2355.6"
"278768000","3039700","3596","2360.7"
"279848000","3039700","3595","2365.8"
"280706000","3039700","3596","2370.0"
"281698000","3039700","3595","2374.7"
"282812000","1750200","3596","2380.6"
"283805000","1750200","3596","2384.9"
"284668000","1750200","3597","2389.1"
"285660000","1750200","3596","2397.2"
"286518000","1750200","3597","2405.3"
"287765000","1750200","3597","2417.7"
"288623000","1750200","3596","2425.4"
"289615000","1750200","3597","2434.3"
"290473000","2193700","3597","2441.1"
"291465000","2193700","3597","2448.4"
"292578000","2193700","3597","2455.2"
"293570000","2193700","3598","2458.6"
"294655000","2193700","3597","2466.2"
"295734000","2193700","3597","2474.3"
"296813000","2193700","3596","2482.4"
"298146000","2193700","3597","2493.1"
"299231000","1916900","3596","2501.6"
"300310000","1916900","3597","2510.5"
"301389000","1916900","3597","2518.6"
"302467000","1916900","3597","2531.4"
"303802000","1916900","3597","2548.5"
"304887000","2998000","3597","2562.6"
"305965000","2998000","3597","2576.7"
"307044000","2998000","3598","2589.1"
"308123000","2998000","3596","2601.1"
"309457000","2998000","3597","2613.0"
"310537000","2998000","3597","2620.2"
"311616000","2641500","3596","2626.6"
"312694000","2641500","3596","2632.6"
"313778000","2641500","3596","2636.8"
"315103000","2641500","3595","2639.7"
"316305000","2641500","3595","2642.7"
"317368000","2641500","3595","2646.0"
"318566000","2641500","3595","2652.0"
"319629000","2641500","3596","2661.3"
"321081000","2641500","3596","2675.0"
"322367000","1558500","3596","2686.9"
"323430000","1558500","3595","2696.3"
"324633000","1558500","3595","2705.3"
"325697000","1558500","3595","2711.6"
"327156000","1558500","3595","2717.6"
"328219000","1558500","3596","2720.1"
"329417000","1558500","3595","2722.1"
"330697000","1558500","3595","2724.6"
"331776000","1558500","3596","2726.7"
"333112000","1558500","3595","2729.2"
"334198000","1558500","3595","2732.2"
"335277000","1558500","3595","2737.3"
"336356000","1168300","3594","2745.8"
"337435000","1168300","3595","2756.0"
"338770000","1168300","3594","2767.5"
"339850000","1168300","3595","2776.9"
"340930000","1168300","3593","2785.0"
"342015000","1168300","3594","2792.2"
"343094000","1168300","3594","2797.7"
"344435000","1168300","3593","2801.1"
