Time (ns),Current (nA),Voltage (mV),Energy (uJ)
0,0,3592,51.8
1080000,2494900,3597,60.4
2158000,2494900,3588,68.7
3237000,2494900,3590,77.3
4315000,2494900,3589,85.9
5650000,2494900,3595,97.2
6733000,2494900,3592,106.7
7812000,2494900,3594,117.9
8891000,2442900,3597,129.2
9970000,2442900,3599,142.6
11304000,2442900,3599,159.5
12384000,2442900,3599,171.1
13462000,2442900,3598,181.9
14541000,3041800,3599,191
15620000,3041800,3598,200.5
16960000,3041800,3598,211.3
18038000,3041800,3597,219.5
19117000,3041800,3600,229.9
20196000,3041800,3601,238.1
21275000,3041800,3600,246.3
22610000,2259700,3601,256.7
23689000,2259700,3601,266.2
24769000,2259700,3601,277.4
25848000,2259700,3601,290.4
26932000,2259700,3600,300.8
28056000,2259700,3600,304.2
29053000,2259700,3600,305.4
29915000,2259700,3599,306.7
30912000,2259700,3599,308.4
31776000,2259700,3598,309.2
33029000,2259700,3598,311.3
34114000,1496100,3598,318.6
35199000,1496100,3598,325.5
36283000,1496100,3598,333.7
37373000,1496100,3598,338.9
38712000,1496100,3598,344.4
39796000,1496100,3597,347.9
40879000,1496100,3598,351.3
41964000,1496100,3597,354.3
43048000,1496100,3597,357.7
44393000,1496100,3596,361.5
45476000,1496100,3596,364.9
46560000,1496100,3596,368.3
47650000,1496100,3596,375.2
48733000,1239900,3596,383.9
49852000,1239900,3596,387.3
50850000,1239900,3596,390.3
51712000,1239900,3596,392.8
52710000,1239900,3596,394.9
53568000,1239900,3596,395.8
54827000,1239900,3596,397.9
55911000,1239900,3596,405.2
57001000,1239900,3596,412.5
58085000,1239900,3596,420.3
59169000,1239900,3596,427.2
60508000,1239900,3595,436.7
61371000,1239900,3595,440.5
62368000,1233100,3595,444.4
63226000,1233100,3594,447.4
64223000,1233100,3594,451.3
65342000,1233100,3593,455.1
66335000,1233100,3594,459
67198000,1233100,3594,461.9
68190000,1233100,3594,465.4
69049000,1233100,3594,468.8
70301000,1233100,3593,473.1
71160000,1233100,3594,476.1
72152000,1233100,3593,479.9
73011000,1233100,3592,482.9
74003000,1233100,3593,486.8
75117000,1233100,3593,490.6
76111000,1233100,3593,494
77195000,1233100,3592,498.3
78054000,1233100,3592,500.5
79046000,1233100,3593,501.7
80160000,914000,3593,502.9
81152000,914000,3593,504.2
82011000,914000,3594,505
83003000,914000,3593,506.3
83862000,914000,3594,507.5
85109000,914000,3593,508.7
85968000,914000,3594,510
86966000,914000,3594,511.2
87825000,914000,3594,512.1
88818000,914000,3594,518.1
90153000,914000,3594,526.3
91232000,914000,3594,534
92311000,914000,3593,540.9
93390000,914000,3594,548.3
94470000,914000,3594,556
95804000,1034000,3594,561.2
96893000,1034000,3593,564.2
97977000,1034000,3594,567.6
99062000,1034000,3593,571
100146000,1034000,3594,576.6
101491000,1034000,3594,586.1
102576000,1034000,3595,590.8
103433000,1034000,3594,593.3
104430000,1034000,3594,596.3
105513000,1034000,3594,598.9
106632000,1034000,3594,600.6
107635000,1034000,3594,601.8
108719000,1034000,3594,608.7
109804000,1034000,3595,616.5
110889000,1153000,3595,623.8
112239000,1153000,3596,632.4
113323000,1153000,3595,639.7
114186000,1153000,3595,644
115183000,1153000,3595,647.9
116041000,1153000,3596,651.3
117305000,1153000,3596,656
118163000,1153000,3595,659
119155000,1153000,3596,662.5
120012000,1153000,3595,665.4
121005000,1153000,3595,669.3
122118000,1153000,3595,673.2
123110000,1153000,3596,677
123968000,1153000,3595,680
124961000,1185700,3596,683.9
126041000,1185700,3595,687.7
127160000,1185700,3595,691.6
128153000,1185700,3595,695.4
129012000,1185700,3595,698.4
130004000,1185700,3595,701.8
131083000,1185700,3594,704.8
132196000,1185700,3594,706
133189000,1185700,3593,707.3
134269000,1185700,3594,709
135127000,1185700,3594,709.8
136119000,1185700,3594,711
137238000,1185700,3594,712.3
138230000,1185700,3593,713.5
139087000,1185700,3593,714.8
140079000,1185700,3594,716
140937000,1185700,3593,717.3
142185000,1185700,3594,725
143264000,1185700,3594,732.4
144344000,1185700,3594,739.7
145423000,851600,3594,746.6
146502000,851600,3593,753.9
147842000,851600,3593,762.1
148921000,851600,3593,767.3
150000000,851600,3594,772.4
151080000,851600,3594,777.1
152160000,851600,3593,782.3
153499000,851600,3593,788.3
154578000,851600,3593,793.5
155657000,851600,3593,798.2
156742000,851600,3593,803.3
157821000,1386900,3594,808.5
159156000,1386900,3593,814.1
160235000,1386900,3593,818.8
161318000,1386900,3593,822.6
162402000,1386900,3592,825.6
163486000,1386900,3592,829
164831000,1386900,3592,833.3
