Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","72084000","3571","1.96303822E7"
"993000","72084000","3572","1.96306404E7"
"2073000","72472900","3572","1.96309231E7"
"2937000","72472900","3572","1.96311479E7"
"3929000","72231400","3573","1.96314057E7"
"5044000","72316700","3572","1.96316959E7"
"6037000","72316700","3572","1.96319554E7"
"6896000","72444500","3573","1.9632179E7"
"7888000","72444500","3573","1.9632438E7"
"8746000","72202900","3572","1.96326599E7"
"9995000","72265600","3573","1.96329847E7"
"10854000","72265600","3573","1.96332071E7"
"11846000","72089700","3573","1.96334653E7"
"12710000","72089700","3573","1.96336897E7"
"13704000","72118500","3572","1.96339475E7"
"14818000","72673800","3572","1.9634239E7"
"15810000","72673800","3572","1.96344976E7"
"16669000","72431300","3572","1.96347216E7"
"17662000","72431300","3571","1.96349794E7"
"18740000","72291300","3572","1.96352607E7"
"19855000","72042600","3572","1.96355497E7"
"20848000","72042600","3572","1.96358092E7"
"21707000","72317900","3572","1.96360319E7"
"22706000","72317900","3572","1.96362922E7"
"23787000","72283900","3572","1.96365732E7"
"24902000","72590400","3573","1.96368647E7"
"25896000","72590400","3573","1.96371233E7"
"26981000","72272000","3573","1.96374055E7"
"27839000","72272000","3574","1.96376287E7"
"28836000","72218100","3573","1.96378877E7"
"29949000","72189300","3573","1.96381771E7"
"30941000","72189300","3574","1.96384358E7"
"31800000","72304600","3574","1.96386589E7"
"32799000","72304600","3573","1.96389184E7"
"33658000","72307800","3573","1.96391424E7"
"34906000","72453300","3573","1.96394681E7"
"35764000","72453300","3573","1.96396917E7"
"36757000","72241300","3573","1.96399494E7"
"37615000","72241300","3573","1.96401739E7"
"38609000","72216300","3573","1.96404308E7"
"39722000","72230800","3573","1.96407202E7"
"40714000","72230800","3573","1.96409775E7"
"41572000","72266300","3574","1.96412015E7"
"42564000","72266300","3574","1.96414597E7"
"43650000","72519900","3574","1.96417441E7"
"44765000","72106400","3574","1.96420335E7"
"45757000","72106400","3574","1.96422908E7"
"46616000","72216300","3575","1.96425148E7"
"47610000","72216300","3575","1.96427734E7"
"48690000","72258600","3575","1.96430544E7"
"49804000","72084000","3575","1.96433434E7"
"50796000","72084000","3575","1.96436007E7"
"51877000","72246700","3575","1.96438825E7"
"52740000","72246700","3575","1.96441078E7"
"53732000","72470900","3575","1.96443664E7"
"54846000","72042600","3575","1.96446554E7"
"55839000","72042600","3575","1.9644914E7"
"56698000","72216300","3575","1.96451368E7"
"57690000","72216300","3574","1.96453949E7"
"58548000","72241300","3574","1.96456181E7"
"59796000","72208700","3574","1.96459425E7"
"60654000","72208700","3574","1.96461649E7"
"61646000","72101200","3574","1.96464226E7"
"62505000","72101200","3574","1.96466471E7"
"63503000","72522200","3575","1.96469074E7"
"64618000","72001300","3575","1.96471963E7"
"65611000","72001300","3575","1.96474541E7"
"66470000","72317900","3575","1.96476785E7"
"67463000","72317900","3575","1.96479367E7"
"68548000","72384800","3575","1.96482202E7"
"69663000","72042600","3576","1.96485092E7"
"70655000","72042600","3576","1.96487674E7"
"71514000","72153000","3576","1.96489901E7"
"72507000","72153000","3575","1.964925E7"
"73593000","72610300","3575","1.96495335E7"
"74708000","71959900","3575","1.96498225E7"
"75702000","71959900","3574","1.96500807E7"
"76781000","72190100","3574","1.96503612E7"
"77640000","72190100","3573","1.96505848E7"
"78632000","72304600","3574","1.9650843E7"
"79747000","72106400","3573","1.96511324E7"
"80739000","72106400","3573","1.96513897E7"
"81597000","72202900","3573","1.96516133E7"
"82590000","72202900","3573","1.96518728E7"
"83454000","72459000","3573","1.96520976E7"
"84703000","72077800","3574","1.96524216E7"
"85562000","72077800","3573","1.96526457E7"
"86554000","72279600","3573","1.96529034E7"
"87413000","72279600","3573","1.96531274E7"
"88406000","72279600","3573","1.96533852E7"
"89519000","72084000","3574","1.96536742E7"
"90512000","72084000","3574","1.96539328E7"
"91371000","72342900","3574","1.96541564E7"
"92365000","72342900","3574","1.96544158E7"
"93450000","72475200","3574","1.96546989E7"
"94565000","72106400","3574","1.96549883E7"
"95558000","72106400","3574","1.96552469E7"
"96416000","72367900","3574","1.96554705E7"
"97410000","72367900","3574","1.96557291E7"
"98490000","72202100","3574","1.96560097E7"
"99604000","72084000","3574","1.96562986E7"
"100596000","72084000","3574","1.96565573E7"
"101676000","72438700","3574","1.96568391E7"
"102535000","72438700","3573","1.96570627E7"
"103533000","72434100","3573","1.96573234E7"
"104648000","72147800","3573","1.96576128E7"
"105640000","72147800","3573","1.96578701E7"
"106498000","72051300","3574","1.96580929E7"
"107491000","72051300","3574","1.96583519E7"
"108349000","72367900","3574","1.96585751E7"
"109597000","72151800","3574","1.96588991E7"
"110461000","72151800","3574","1.96591239E7"
"111453000","72459000","3574","1.96593834E7"
"112312000","72459000","3574","1.9659607E7"
"113309000","72168200","3574","1.96598656E7"
"114424000","72211500","3574","1.96601554E7"
"115417000","72211500","3574","1.96604149E7"
"116276000","72469500","3573","1.96606384E7"
"117270000","72469500","3573","1.96608962E7"
"118349000","72337400","3573","1.96611784E7"
"119464000","72147800","3572","1.96614678E7"
"120458000","72147800","3573","1.96617269E7"
"121537000","72337400","3573","1.96620078E7"
"122396000","72337400","3572","1.96622319E7"
"123395000","72346000","3573","1.96624917E7"
"124509000","71937400","3573","1.96627803E7"
"125503000","71937400","3573","1.96630393E7"
"126584000","72315100","3574","1.96633203E7"
"127442000","72315100","3574","1.96635439E7"
"128434000","72329600","3573","1.96638021E7"
"129548000","72042600","3574","1.9664091E7"
"130541000","72042600","3574","1.96643497E7"
"131400000","72342900","3574","1.96645732E7"
"132392000","72342900","3574","1.96648314E7"
"133256000","72080200","3574","1.9665055E7"
"134505000","72265600","3574","1.96653799E7"
"135369000","72265600","3574","1.96656043E7"
"136362000","72143400","3574","1.96658621E7"
"137220000","72143400","3574","1.96660852E7"
"138212000","72266300","3574","1.96663434E7"
"139327000","72106400","3574","1.96666328E7"
"140318000","72106400","3573","1.96668906E7"
"141176000","72418000","3573","1.9667115E7"
"142170000","72418000","3572","1.96673732E7"
"143256000","72227500","3572","1.96676559E7"
"144370000","72147800","3572","1.96679453E7"
"145364000","72147800","3572","1.96682035E7"
"146443000","72212400","3572","1.9668484E7"
"147302000","72212400","3573","1.96687076E7"
