Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3626","14.4"
"1078000","0","3609","16.9"
"2155000","0","3595","19.5"
"3235000","0","3603","22.4"
"4313000","0","3601","25.0"
"5648000","0","3606","28.4"
"6726000","0","3604","30.9"
"7805000","0","3603","33.5"
"8884000","0","3603","36.4"
"9967000","0","3601","39.0"
"11302000","0","3603","42.4"
"12380000","0","3602","44.9"
"13459000","0","3602","47.5"
"14538000","0","3601","50.4"
"15617000","0","3600","53.0"
"16951000","0","3602","56.0"
"18030000","691700","3602","58.9"
"19109000","691700","3600","61.5"
"20193000","691700","3601","64.4"
"21273000","691700","3601","67.0"
"22607000","691700","3602","70.4"
"23685000","691700","3601","72.9"
"24764000","691700","3601","75.5"
"25843000","691700","3600","78.5"
"26923000","691700","3601","81.0"
"28257000","691700","3601","84.4"
"29341000","691700","3600","86.9"
"30420000","691700","3600","89.5"
"31499000","691700","3599","92.5"
"32578000","691700","3599","95.0"
"33917000","691700","3599","98.4"
"34997000","691700","3599","100.9"
"36077000","691700","3599","103.5"
"37156000","691700","3599","106.5"
"38235000","691700","3599","109.0"
"39574000","691700","3598","112.4"
"40653000","691700","3598","114.9"
"41732000","691200","3598","117.9"
"42811000","691200","3598","120.5"
"43890000","691200","3598","123.0"
"45224000","691200","3597","126.4"
"46303000","691200","3598","128.9"
"47382000","691200","3598","131.9"
"48461000","691200","3597","134.5"
"49545000","691200","3598","137.4"
"50879000","691200","3597","140.4"
"51958000","691200","3598","143.4"
"53036000","691200","3598","145.9"
"54114000","691200","3598","148.5"
"55193000","691200","3598","151.4"
"56527000","691200","3597","154.4"
"57605000","691200","3597","157.4"
"58684000","691200","3598","159.9"
"59768000","691200","3597","162.5"
"60847000","691200","3597","165.4"
"62182000","691200","3597","168.4"
"63261000","691200","3596","171.4"
"64340000","691200","3597","173.9"
"65419000","686600","3597","176.5"
"66497000","686600","3597","179.4"
"67832000","686600","3597","182.4"
"68909000","686600","3597","185.4"
"69993000","686600","3596","187.9"
"71071000","686600","3597","190.9"
"72151000","686600","3597","193.4"
"73486000","686600","3597","196.8"
"74564000","686600","3596","199.4"
"75659000","686600","3597","202.3"
"76737000","686600","3597","204.9"
"77816000","686600","3597","207.4"
"79150000","686600","3596","210.8"
"80235000","686600","3596","213.4"
"81314000","686600","3596","216.3"
"82392000","686600","3596","218.9"
"83471000","686600","3596","221.4"
"84806000","686600","3596","224.8"
"85884000","686600","3597","227.8"
"86962000","686600","3597","230.3"
"88041000","686600","3597","232.9"
"89121000","696300","3597","235.9"
"90459000","696300","3596","238.8"
"91537000","696300","3596","241.8"
"92617000","696300","3596","244.3"
"93696000","696300","3597","247.3"
"94774000","696300","3596","249.9"
"96110000","696300","3597","253.3"
"97188000","696300","3597","255.8"
"98267000","696300","3597","258.4"
"99350000","696300","3597","261.3"
"100429000","696300","3597","263.9"
"101762000","696300","3597","267.3"
"102841000","696300","3597","269.8"
"103921000","696300","3597","272.8"
"104999000","696300","3597","275.3"
"106078000","696300","3597","277.9"
"107411000","696300","3597","281.3"
"108489000","696300","3597","284.2"
"109574000","696300","3597","286.8"
"110654000","696300","3596","289.3"
"111732000","696300","3596","292.3"
"113065000","689100","3596","295.3"
"114143000","689100","3596","298.2"
"115222000","689100","3596","300.8"
"116301000","689100","3596","303.3"
"117380000","689100","3597","306.3"
"118719000","689100","3596","309.3"
"119804000","689100","3597","312.2"
"120883000","689100","3596","314.8"
"121963000","689100","3596","317.3"
"123042000","689100","3597","320.3"
"124377000","689100","3596","323.3"
"125457000","689100","3597","326.2"
"126536000","689100","3597","328.8"
"127615000","689100","3596","331.3"
"128694000","689100","3596","334.3"
"130034000","689100","3596","337.3"
"131113000","689100","3596","340.2"
"132192000","689100","3595","342.8"
"133271000","689100","3596","345.3"
"134350000","689100","3595","348.3"
"135684000","689100","3596","351.3"
"136762000","691400","3596","354.2"
"137840000","691400","3596","356.8"
"138919000","691400","3596","359.8"
"140003000","691400","3596","362.3"
"141338000","691400","3597","365.7"
"142417000","691400","3597","368.2"
"143496000","691400","3597","370.8"
"144575000","691400","3596","373.8"
"145655000","691400","3597","376.3"
"146989000","691400","3597","379.7"
"148068000","691400","3597","382.2"
"149147000","691400","3597","384.8"
"150231000","691400","3597","387.8"
"151311000","691400","3597","390.3"
"152646000","691400","3596","393.7"
"153724000","691400","3596","396.2"
"154803000","691400","3597","399.2"
"155881000","691400","3596","401.8"
"156960000","691400","3596","404.3"
"158294000","691400","3596","407.7"
"159378000","691400","3596","410.2"
"160461000","691300","3596","413.2"
"161540000","691300","3596","415.8"
"162619000","691300","3596","418.3"
"163954000","691300","3596","421.7"
"165033000","691300","3596","424.3"
"166113000","691300","3596","427.2"
"167192000","691300","3596","429.8"
"168271000","691300","3596","432.7"
"169611000","691300","3596","435.7"
"170689000","691300","3596","438.7"
"171769000","691300","3596","441.2"
"172847000","691300","3597","443.8"
"173927000","691300","3596","446.7"
"175262000","691300","3597","449.7"
"176340000","691300","3597","452.7"
"177419000","691300","3597","455.2"
"178498000","691300","3597","458.2"
"179583000","691300","3596","460.7"
"180918000","691300","3597","464.1"
"181995000","691300","3596","466.7"
"183075000","691300","3597","469.2"
"184153000","691500","3597","472.2"
"185232000","691500","3597","474.7"
"186567000","691500","3596","478.1"
"187645000","691500","3597","480.7"
"188725000","691500","3597","483.7"
"189810000","691500","3597","486.2"
"190888000","691500","3596","488.7"
"192222000","691500","3596","492.1"
"193301000","691500","3595","494.7"
"194379000","691500","3596","497.7"
"195457000","691500","3595","500.2"
"196537000","691500","3596","503.2"
"197871000","691500","3595","506.1"
"198950000","691500","3596","509.1"
"200034000","691500","3595","511.7"
"201113000","691500","3596","514.2"
"202196000","691500","3596","517.2"
"203531000","691500","3596","520.6"
"204610000","691500","3596","523.1"
"205688000","691500","3596","525.7"
"206767000","691500","3596","528.6"
"207846000","691500","3596","531.2"
"209186000","691500","3596","534.6"
"210264000","691500","3595","537.1"
"211343000","691500","3595","539.7"
"212422000","691500","3596","542.6"
"213501000","691500","3595","545.2"
"214834000","691500","3596","548.6"
"215913000","691500","3595","551.1"
"216993000","691500","3596","554.1"
"218070000","691500","3596","556.6"
"219149000","691500","3596","559.2"
"220489000","691500","3597","562.6"
"221567000","691500","3597","565.6"
"222646000","691500","3597","568.1"
"223725000","691500","3597","570.6"
"224803000","691500","3596","573.6"
"226138000","691500","3598","576.6"
"227217000","691500","3597","579.6"
"228296000","691500","3597","582.1"
"229380000","691500","3597","585.1"
"230459000","691500","3597","587.6"
"231794000","694000","3596","591.0"
"232873000","694000","3596","593.6"
"233952000","694000","3596","596.5"
"235032000","694000","3596","599.1"
"236110000","694000","3596","601.6"
"237443000","694000","3596","605.0"
"238522000","694000","3595","607.6"
"239606000","694000","3595","610.5"
"240685000","694000","3595","613.1"
"241764000","694000","3595","615.6"
"243098000","694000","3595","619.0"
"244182000","694000","3595","621.6"
"245261000","694000","3595","624.5"
"246339000","694000","3595","627.1"
"247418000","694000","3595","629.6"
"248753000","694000","3595","633.0"
"249837000","694000","3595","635.6"
"250917000","694000","3596","638.5"
"251995000","694000","3596","641.1"
"253074000","694000","3595","643.6"
"254409000","694000","3595","647.0"
"255489000","686400","3595","649.6"
"256568000","686400","3595","652.5"
"257646000","686400","3594","655.1"
"258726000","686400","3595","657.6"
"260065000","686400","3594","661.0"
"261145000","686400","3595","663.6"
"262223000","686400","3595","666.5"
"263302000","686400","3595","669.1"
"264381000","686400","3595","672.1"
"265716000","686400","3594","675.0"
"266794000","686400","3595","678.0"
"267874000","686400","3595","680.5"
"268953000","686400","3595","683.1"
"270038000","686400","3595","686.1"
"271370000","686400","3594","689.0"
"272449000","686400","3596","692.0"
"273526000","686400","3595","694.5"
"274606000","686400","3595","697.1"
"275685000","686400","3595","700.1"
"277019000","686400","3594","703.0"
"278097000","686400","3594","706.0"
"279182000","691500","3594","708.5"
"280261000","691500","3594","711.1"
"281340000","691500","3594","714.1"
"282673000","691500","3593","717.0"
"283753000","691500","3594","720.0"
"284831000","691500","3594","722.5"
"285915000","691500","3594","725.5"
"286994000","691500","3594","728.1"
"288329000","691500","3595","731.5"
"289412000","691500","3595","734.0"
"290492000","691500","3595","736.5"
"291571000","691500","3594","739.5"
"292650000","691500","3595","742.1"
"293985000","691500","3595","745.5"
"295063000","691500","3595","748.0"
"296142000","691500","3595","750.5"
"297221000","691500","3596","753.5"
"298301000","691500","3596","756.1"
"299641000","691500","3596","759.5"
"300719000","691500","3596","762.0"
"301798000","691500","3595","765.0"
"302877000","691400","3596","767.5"
"303956000","691400","3596","770.1"
"305290000","691400","3596","773.5"
"306369000","691400","3596","776.0"
"307446000","691400","3595","779.0"
"308526000","691400","3596","781.5"
"309609000","691400","3596","784.5"
"310945000","691400","3596","787.5"
"312024000","691400","3597","790.4"
"313102000","691400","3596","793.0"
"314181000","691400","3596","795.5"
"315259000","691400","3596","798.5"
"316594000","691400","3596","801.5"
"317672000","691400","3595","804.4"
"318752000","691400","3596","807.0"
"319836000","691400","3596","810.0"
"320914000","691400","3595","812.5"
"322249000","691400","3597","815.9"
"323327000","691400","3596","818.4"
"324406000","691400","3596","821.0"
"325485000","691400","3596","824.0"
"326563000","691700","3596","826.5"
"327902000","691700","3596","829.9"
"328981000","691700","3596","832.4"
"330065000","691700","3596","835.4"
"331144000","691700","3596","838.0"
"332223000","691700","3596","840.5"
"333557000","691700","3596","843.9"
"334635000","691700","3595","846.4"
"335714000","691700","3596","849.4"
"336793000","691700","3595","852.0"
"337873000","691700","3596","854.9"
"339211000","691700","3596","857.9"
"340290000","691700","3596","860.9"
