Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","800500","3566","17.0",""
"1310000","800500","3592","20.8","0xA2D00000A0000E60"
"2444000","800500","3586","24.2",""
"3576000","800500","3589","27.7",""
"4709000","800500","3587","31.1",""
"6211000","800500","3589","35.3",""
"7402000","800500","3585","38.7",""
"8655000","800500","3586","42.6",""
"9793000","800500","3587","46.0",""
"10927000","800500","3587","49.4",""
"12430000","800500","3588","53.7",""
"13621000","800500","3587","57.1",""
"14874000","800500","3588","60.9",""
"16223000","800500","3587","65.2","0x82D00000A0000E60"
"17356000","800500","3589","68.6",""
"18865000","800500","3589","72.9",""
"20056000","820800","3590","76.3",""
"21309000","820800","3589","80.1","0xA2D04B34A0000E60"
"22443000","820800","3590","83.5",""
"23695000","820800","3590","87.4",""
"24770000","820800","3591","90.3",""
"26081000","820800","3591","94.2",""
"27215000","820800","3592","97.6",""
"28473000","820800","3592","101.4",""
"29612000","820800","3594","104.8",""
"31115000","820800","3594","109.1",""
"32307000","820800","3595","112.5",""
"33560000","820800","3594","116.3",""
"34911000","820800","3596","120.2","0x82D00000A0000E60"
"36045000","820800","3595","123.6",""
"37540000","820800","3596","127.9",""
"38743000","820800","3596","131.7",""
"39996000","825800","3596","135.5","0xA2D04B34A0000E60"
"41129000","825800","3596","138.5",""
"42381000","825800","3596","142.4",""
"43455000","825800","3596","145.3",""
"44766000","825800","3595","149.2",""
"45900000","825800","3595","152.6",""
"47152000","825800","3595","156.4",""
"48285000","825800","3595","159.8",""
"49794000","825800","3595","164.1",""
"50985000","825800","3595","167.5",""
"52237000","825800","3594","171.3",""
"53370000","825800","3594","174.8",""
"54502000","825800","3594","178.2",""
"56006000","825800","3594","182.4",""
"57197000","825800","3593","185.8",""
"58450000","825800","3594","189.7",""
"59589000","825800","3593","193.1",""
"60721000","817100","3594","196.5",""
"62223000","817100","3594","200.8",""
"63414000","817100","3593","204.2",""
"64668000","817100","3594","208.0",""
"65801000","817100","3593","211.4",""
"66934000","817100","3594","214.8",""
"68437000","817100","3593","219.1",""
"69638000","817100","3594","222.5",""
"70892000","817100","3594","226.3",""
"72026000","817100","3594","229.8",""
"73158000","817100","3594","233.2",""
"74662000","817100","3593","237.4",""
"75852000","817100","3594","240.8",""
"77105000","817100","3594","244.7",""
"78237000","817100","3594","248.1",""
"79376000","817100","3593","251.5",""
"80878000","816700","3593","255.8",""
"82069000","816700","3592","259.2",""
"83322000","816700","3593","263.0",""
"84456000","816700","3593","266.4",""
"85588000","816700","3593","269.8",""
"87091000","816700","3592","274.1",""
"88281000","816700","3593","277.5",""
"89539000","816700","3592","281.3",""
"90673000","816700","3592","284.8",""
"91806000","816700","3591","288.2",""
"92879000","816700","3591","291.2",""
"94071000","816700","3591","294.6",""
"95324000","816700","3591","298.4",""
"96458000","816700","3590","301.8",""
"97711000","816700","3591","305.7",""
"98791000","816700","3591","308.6",""
"100102000","816700","3590","312.5",""
"101235000","820400","3591","315.9",""
"102488000","820400","3591","319.7",""
"103622000","820400","3590","322.7",""
"105124000","820400","3591","327.4",""
"106315000","820400","3591","330.8",""
"107448000","820400","3592","334.2",""
"108701000","820400","3592","338.1",""
"109840000","820400","3591","341.0",""
"111348000","820400","3592","345.7",""
"112539000","820400","3592","349.1",""
"113671000","820400","3593","352.5",""
"114925000","820400","3593","356.4",""
"116058000","820400","3594","359.4",""
"117560000","820400","3593","364.1",""
"118758000","820400","3594","367.5",""
"119891000","820400","3594","370.9",""
"121144000","821000","3595","374.7",""
"122278000","821000","3594","378.1",""
"123780000","821000","3594","382.4",""
"124972000","821000","3595","385.8",""
"126104000","821000","3594","389.2",""
"127357000","821000","3595","393.1",""
"128490000","821000","3595","396.5",""
"129998000","821000","3595","400.7",""
"131189000","821000","3595","404.1",""
"132322000","821000","3594","407.5",""
"133574000","821000","3595","411.4",""
"134708000","821000","3595","414.8",""
"136212000","821000","3596","419.1",""
"137403000","821000","3595","422.5",""
"138536000","821000","3596","425.9",""
"139794000","821000","3595","429.7",""
"140927000","820200","3596","433.1",""
"142431000","820200","3596","437.4",""
"143622000","820200","3597","440.8",""
"144754000","820200","3596","444.2",""
"146007000","820200","3596","448.1",""
"147141000","820200","3596","451.5",""
"148644000","820200","3597","455.7",""
"149841000","820200","3596","459.1",""
"151191000","820200","3596","463.4","0x82D00000A0000E60"
"152324000","820200","3596","466.8",""
"153582000","820200","3596","470.7",""
"154657000","820200","3596","473.6",""
"155969000","820200","3596","477.5","0xA2D00000A0000E60"
"157102000","820200","3597","480.9",""
"158451000","820200","3597","484.7","0x82D00000A0000E60"
"159591000","820200","3596","488.1",""
"161094000","816300","3595","492.4",""
"162284000","816300","3596","495.8","0x3D00000A0000E60"
"163021000","816300","3595","497.9","0xA2D04B34A0000E60"
"164155000","816300","3595","501.3",""
"165409000","816300","3596","505.2",""
"167009000","816300","3595","509.9","0x82D00000A0000E60"
"168200000","816300","3595","513.3",""
"169459000","816300","3595","517.1","0xA2D00000A0000E60"
"170593000","816300","3595","520.5","0x3D04B74A0000E60"
"171331000","816300","3595","522.2","0xA2D04B34A0000E60"
"172405000","816300","3595","525.2",""
"173715000","816300","3596","529.1",""
"175064000","816300","3595","533.3","0x82D00000A0000E60"
"176198000","816300","3595","536.7",""
"177451000","816300","3594","540.6",""
"178525000","816300","3594","543.6",""
"179842000","816300","3594","547.4","0xA2D00000A0000E60"
"180976000","816000","3594","550.8","0x3D04B7AA0000E60"
"181713000","816000","3594","552.5","0xA2D04B34A0000E60"
"182845000","816000","3593","555.9",""
"184347000","816000","3594","560.6",""
"185537000","816000","3594","564.0",""
"186790000","816000","3594","567.9",""
"187924000","816000","3594","571.3",""
"189182000","816000","3594","574.7",""
"190255000","816000","3594","577.7",""
"191566000","816000","3594","581.9",""
"192700000","816000","3594","584.9",""
"193952000","816000","3594","588.7",""
"195103000","816000","3594","592.2",""
"196605000","816000","3594","596.8",""
"197796000","816000","3594","600.3",""
"199055000","816000","3594","604.1",""
"200189000","816000","3595","607.5",""
"201322000","814800","3594","610.5",""
"202825000","814800","3594","615.2",""
"204015000","814800","3594","618.6",""
"205268000","814800","3595","622.4",""
"206401000","814800","3595","625.8",""
"207654000","814800","3595","629.7","0x82D00000A0000E60"
"208735000","814800","3594","632.2",""
"210045000","814800","3595","636.5",""
"211395000","814800","3595","640.3",""
"212529000","814800","3595","643.7",""
"213782000","814800","3594","647.6",""
"214856000","814800","3594","650.6",""
"216167000","814800","3594","654.4","0xA2D00000A0000E60"
"217300000","814800","3593","657.8",""
"218553000","814800","3594","661.7",""
"219691000","814800","3594","665.1",""
"221186000","822900","3594","669.3",""
"222385000","822900","3593","672.7",""
"223637000","822900","3594","676.6",""
"224770000","822900","3594","680.0",""
"226024000","822900","3594","683.8",""
"227098000","822900","3594","686.8",""
"228290000","822900","3594","690.2",""
"229548000","822900","3594","694.1",""
"230680000","822900","3594","696.6",""
"231933000","822900","3594","700.0",""
"233007000","822900","3594","702.6",""
"234196000","822900","3593","705.5",""
"235450000","822900","3593","708.9",""
"236583000","822900","3594","711.9",""
"237841000","822900","3594","714.9",""
"238922000","822900","3594","717.4",""
"240233000","822900","3594","720.8",""
"241365000","822900","3594","723.8",""
"242618000","750200","3594","727.2",""
"243752000","750200","3594","730.2",""
"245254000","750200","3594","733.6",""
"246445000","750200","3594","736.6",""
"247578000","750200","3593","739.5",""
"248836000","750200","3593","742.9",""
"249971000","750200","3593","745.9",""
"251473000","750200","3594","749.7",""
"252664000","750200","3594","752.7",""
"253797000","750200","3593","755.3",""
"255050000","750200","3593","758.7",""
"256184000","750200","3594","761.6",""
"257686000","750200","3593","765.5",""
"258883000","750200","3594","768.4",""
"260015000","750200","3593","771.4",""
"261268000","750200","3594","774.4",""
"262401000","750200","3594","777.4",""
"263904000","750200","3594","781.2",""
"265096000","750200","3594","784.2",""
"266228000","705100","3594","787.1",""
"267362000","705100","3593","788.4",""
"268615000","705100","3593","790.0",""
"269695000","705100","3594","791.3",""
"270886000","705100","3593","792.5",""
"272140000","705100","3593","794.2",""
"273272000","705100","3593","795.9",""
"274525000","705100","3593","797.5",""
"275598000","705100","3593","798.3",""
"276788000","705100","3593","800.0",""
"278042000","705100","3593","801.7",""
"279185000","705100","3593","802.9",""
"280437000","705100","3593","804.6",""
"281511000","705100","3593","805.8",""
"282821000","705100","3593","807.5",""
"283955000","705100","3593","809.1",""
"285207000","705100","3593","810.8",""
"286340000","705100","3593","812.0",""
"287827000","705100","3593","813.7","0x82D00000A0000E60"
"289032000","705100","3593","815.4","0xA2D04B34A0000E60"
"290166000","705100","3592","818.3",""
"291419000","705100","3593","821.7",""
"292552000","705100","3592","824.3",""
"294054000","705100","3593","828.1",""
"295245000","705100","3592","831.1",""
"296379000","705100","3593","834.1",""
"297631000","705100","3592","837.5",""
"298771000","705100","3593","840.0",""
"300273000","705100","3592","843.8",""
"301465000","463600","3593","845.9",""
"302598000","463600","3592","847.2",""
"303851000","463600","3593","848.8",""
"304985000","463600","3592","850.1",""
"306486000","463600","3593","852.2",""
"307678000","463600","3592","853.4",""
"308817000","463600","3593","855.1",""
"310070000","463600","3593","856.7",""
"311203000","463600","3592","858.0",""
"312705000","463600","3592","860.9",""
"313897000","463600","3592","863.9",""
"315030000","463600","3592","866.9",""
"316284000","463600","3592","870.3",""
"317418000","463600","3592","872.8",""
"318925000","463600","3592","876.7",""
"320116000","463600","3591","879.6",""
"321254000","463600","3591","882.6",""
"322506000","463600","3591","886.0",""
"323639000","463600","3590","888.6",""
"325142000","463600","3591","890.6",""
"326333000","463600","3591","891.9",""
"327466000","463600","3591","893.5",""
"328719000","463600","3591","895.2",""
"329859000","463600","3591","896.5",""
"331361000","463600","3591","898.5",""
"332552000","463600","3592","899.8",""
"333901000","463600","3592","901.4","0x82D00000A0000E60"
"335035000","473000","3591","903.1",""
"336288000","473000","3592","904.8",""
"337363000","473000","3592","906.0",""
"338674000","473000","3592","907.7","0xA2D00000A0000E60"
"339813000","473000","3593","908.9",""
"341163000","473000","3592","910.6","0x82D00000A0000E60"
"342296000","473000","3593","912.2",""
"343799000","473000","3593","913.9",""
"344990000","473000","3593","915.6",""
"346244000","473000","3593","917.2","0xA2D04B34A0000E60"
"347376000","473000","3593","920.2",""
"348629000","473000","3593","923.6",""
"349709000","473000","3594","926.2",""
"351019000","473000","3594","929.6",""
"352153000","473000","3593","932.1",""
"353405000","473000","3593","935.5",""
"354538000","473000","3594","938.5",""
"356041000","473000","3594","942.3",""
"357231000","473000","3595","945.3",""
"358484000","473000","3594","948.7",""
"359622000","473000","3594","951.2",""
"360755000","473000","3594","954.2",""
"362258000","473000","3594","958.0",""
"363454000","566000","3594","961.0",""
"364708000","566000","3594","964.4",""
"365840000","566000","3593","967.0",""
"366972000","566000","3594","969.9",""
"368475000","566000","3593","973.8",""
"369672000","566000","3594","975.9",""
"370924000","566000","3593","977.5",""
"372058000","566000","3593","979.2",""
"373191000","566000","3593","980.4",""
"374694000","566000","3594","982.5",""
"375885000","566000","3594","983.8",""
"377138000","566000","3594","985.4",""
"378271000","566000","3594","986.7",""
"379409000","566000","3594","988.3",""
"380913000","566000","3595","990.4",""
